0, 5000.0 5000.0
1, 7005.840342507032 4124.141984497061
2, 5800.651762969662 3692.325111677542
3, 4865.198140024038 6107.7520212096315
4, 1069.4955911830934 4029.8372327453762
5, 2333.8117240834963 4759.300811547684
6, 3496.770801770922 4354.3688223572035
7, 3817.6432749546643 4426.034966350771
8, 8582.228533819329 5841.824011735667
9, 8732.186774728985 6272.281989730283
10, 3052.1310848631265 1455.7407844201398
11, 4524.217510068208 7173.5609599573945
12, 4338.82472841323 3014.44129896948
13, 2896.99828617488 2160.3412753332154
14, 4678.750971572479 4725.910818402301
15, 5768.926431013493 3986.4570889378774
16, 5756.191483246048 3480.244452314373
17, 2934.0994853593015 3256.657139567029
18, 7688.490806342584 5414.584039941848
19, 2320.6993698687033 1175.312609223352

