0, 2500.0 2500.0
1, 2380.794101649954 2488.860145104913
2, 2495.400233702973 2423.8746906761266
3, 2616.0665320393555 2518.91015165339
4, 2796.6737155090786 2641.1364784099587
5, 2411.0738819015787 2715.0870271847966
6, 2283.811255208356 2718.7520670271174
7, 2370.087780990911 2812.2083892681767
8, 2369.1409359077243 2745.0033422529095
9, 2259.7752746945 2758.268195743367
10, 2488.9982574823157 2376.4306743048573
11, 2539.970288419458 2611.0474968602525
12, 2248.450657206023 2326.503496827589
13, 2573.973196148911 2575.84653795713
14, 2244.321880468284 2715.583310350691
15, 2318.0277229590356 2139.2483441131985
16, 2247.1044646365276 2722.155577233772
17, 2297.0120008235263 2992.409883181621
18, 2997.7838741107325 2498.1508633554963
19, 2469.299662796462 2240.0638016256084
20, 2271.6915195707156 2060.1717508175257
21, 2817.4877442061484 2712.775675343038
22, 2160.5763146231825 2515.4066888907123
23, 2190.8919525437304 3044.2268594955617
24, 2667.058697939533 2875.346630333351
25, 2351.870325630302 1934.172699945976
26, 2126.782938740677 2331.3525023009893
27, 2152.8365122280816 1963.7608319299047
28, 2506.3515999479755 2642.7023744760018
29, 2496.4825869108845 1970.3903963397688
30, 2337.084378177665 3206.7603153666732
31, 2591.0342538097243 2236.228673311909
32, 2450.2147555978645 3368.6593607688465
33, 2318.587832640168 3235.496070045793
34, 2150.810002603658 3182.5229165395604
35, 1929.957118461632 3122.1780761804425
36, 2338.815319538758 2809.6652791246643
37, 2538.4255093810452 3004.6670170974994
38, 2630.3381358095535 2626.841106427713
39, 2115.6277777842793 2436.125669204029
40, 2051.5012613518356 2044.7565583173753
41, 2526.26961827481 2375.046573771421
42, 2457.2170234678088 1803.103364849662
43, 2165.2952429013812 3389.4825622450758
44, 2437.9087960697498 1802.6001680119996
45, 2391.1683443834504 2291.158702283013
46, 2050.7928869423645 2062.6547082417374
47, 2173.534038630043 2832.3758037481475
48, 2331.119774990535 3581.655518626395
49, 2594.18229938509 3437.4914947472303

